"title","age","genres","imdb","rotten_tomatoes","keywords","year","netflix","hulu","prime","disney"
"Breaking Bad","TV-MA","Crime, Drama, Thriller",9.5,96,"High School, Teacher, Doctor, Drug, Gangster",2008,1,0,0,0
"Stranger Things","TV-14","Drama, Fantasy, Horror, Mystery, Science-Fiction, Thriller, Action & Adventure",8.8,93,"Friendship, Monster, Space, Suspense, Supernatural, Science",2016,1,0,0,0
"Money Heist","TV-MA","Thriller, Action & Adventure, Crime, Mystery, Drama",8.4,91,"",2017,1,0,0,0
"Sherlock","TV-14","Action & Adventure, Crime, Drama, Mystery, Thriller",9.1,78,"",2010,1,0,0,0
"Avatar: The Last Airbender","TV-PG","Action & Adventure, Animation, Family, Fantasy, Mystery",9.2,100,"Friendship, Martial Arts, Magic, Religion",2005,1,0,0,0
"The Office","TV-14","",8.9,81,"",2005,1,0,0,0
"Better Call Saul","TV-MA","Comedy, Crime, Drama",8.7,97,"",2015,1,0,0,0
"Supernatural","TV-14","Drama, Fantasy, Horror, Mystery, Science-Fiction, Thriller",8.4,93,"Free Services, Netflix, TNT, fuboTV, Monster, Time Travel, Vampire, Supernatural, Ghost",2005,1,0,0,0
"Dark","TV-14","Crime, Drama, Mystery, Science-Fiction, Thriller, Fantasy",8.7,94,"",2017,1,0,0,0
"Black Mirror","TV-MA","Drama, Science-Fiction, Fantasy, Thriller, Mystery",8.8,83,"Dystopia, Space, Technology, Futuristic",2011,1,0,0,0
"Peaky Blinders","TV-MA","",8.8,92,"War, Racing, Drug, Gangster, World War II",2013,1,0,0,0
"Attack on Titan","TV-14","Action & Adventure, Anime, Animation, Drama, Fantasy, Horror, Mystery, Science-Fiction",8.8,94,"Free Services, Netflix, Hulu, Crunchyroll, Adult Swim, fuboTV, Funimation, Dystopia, Monster, Disaster, Supernatural, Adaptation, Political",2013,1,1,0,0
