"title","age","genres","imdb","rotten_tomatoes","year","keywords"
"Breaking Bad","18 (TV-MA)","Crime, Drama, Thriller","9.5",96,"2008","High School, Teacher, Doctor, Drug, Gangster"
"Stranger Things","14 (TV-14)","Drama, Fantasy, Horror, Mystery, Science-Fiction, Thriller, Action & Adventure","8.8",93,"2016","Friendship, Monster, Space, Suspense, Supernatural, Science"
"Money Heist","18 (TV-MA)","Thriller, Action & Adventure, Crime, Mystery, Drama","8.4",91,"2017",""
"Sherlock","14 (TV-14)","Action & Adventure, Crime, Drama, Mystery, Thriller","9.1",78,"2010",""
"Avatar: The Last Airbender","7 (TV-PG)","Action & Adventure, Animation, Family, Fantasy, Mystery","9.2",100,"2005","Friendship, Martial Arts, Magic, Religion"
"The Office","14 (TV-14)","","8.9",81,"2005",""
"Better Call Saul","18 (TV-MA)","Comedy, Crime, Drama","8.7",97,"2015",""
"Supernatural"," 14 (TV-14)","Drama, Fantasy, Horror, Mystery, Science-Fiction, Thriller","8.4",93,"2005","Free Services, Netflix, TNT, fuboTV, Monster, Time Travel, Vampire, Supernatural, Ghost"
"Dark","14 (TV-14)","Crime, Drama, Mystery, Science-Fiction, Thriller, Fantasy","8.7",94,"2017",""
"Black Mirror","18 (TV-MA)","Drama, Science-Fiction, Fantasy, Thriller, Mystery","8.8",83,"2011","Dystopia, Space, Technology, Futuristic"
"Peaky Blinders"," 18 (TV-MA)","","8.8",92,"2013","War, Racing, Drug, Gangster, World War II"
"Attack on Titan"," 14 (TV-14)","Action & Adventure, Anime, Animation, Drama, Fantasy, Horror, Mystery, Science-Fiction","8.8",94,"2013","Free Services, Netflix, Hulu, Crunchyroll, Adult Swim, fuboTV, Funimation, Dystopia, Monster, Disaster, Supernatural, Adaptation, Political"
"The Walking Dead","18 (TV-MA)","Drama, Horror, Thriller, Action & Adventure, Fantasy, Science-Fiction","8.2",81,"2010","Netflix, AMC, fuboTV, AMC Premiere, Dystopia, Apocalypse, Comic Book, Zombie, Survival, Adaptation"
"Narcos","18 (TV-MA)","Crime, Drama, Biography, Thriller, Action & Adventure","8.8",89,"2015",""
"Community"," 7 (TV-PG)","","8.5",88,"2009","Friendship, College, Zombie, Parody"
"Ozark","18 (TV-MA)","Crime, Drama, Thriller, Mystery","8.4",81,"2017",""
"Mindhunter","18 (TV-MA)","Crime, Drama, Thriller","8.6",96,"2017","Police, Suspense, Serial Killer, Psychology, Based On True Story"
"Parks and Recreation","14 (TV-14)","","8.6",93,"2009","Netflix, Prime Video, Hulu, NBC, Comedy Central, fuboTV"
"Fullmetal Alchemist: Brotherhood","18 (TV-MA)","Action & Adventure, Anime, Animation, Drama, Fantasy, Comedy, Science-Fiction, Mystery","9.1",100,"2009","Free Services, Netflix, HBO MAX, Hulu, Funimation, Supernatural, Science, Adaptation, Political"
"Dexter","18 (TV-MA)","Crime, Drama, Mystery, Thriller","8.6",72,"2006",""
"Marvel's Daredevil","18 (TV-MA)","Action & Adventure, Crime, Drama, Fantasy, Science-Fiction, Thriller, Mystery","8.6",92,"2015","Supernatural, Superhero, Comic Book, Disney, Adaptation"
"One-Punch Man","14 (TV-14)","Animation, Anime, Action & Adventure, Comedy, Fantasy, Science-Fiction","8.8",100,"2015","Free Services, Netflix, Hulu, Adult Swim, fuboTV, Alien, Monster, Martial Arts, Supernatural, Superhero, Parody, Fighting, Adaptation, Sports, Political"
"Twin Peaks","18 (TV-MA)","Drama, Horror, Mystery, Crime, Thriller, Fantasy, Romance","8.8",89,"1990","Netflix, Showtime, Hulu, CBS All Access, Police, Supernatural, Ghost, Serial Killer, Teen"
"The Witcher","18 (TV-MA)","Drama, Action & Adventure, Fantasy, Horror, Mystery","8.3",67,"2020","Based on Books, Monster, Magic, Supernatural, Science, Adaptation"
"Outlander","18 (TV-MA)","Drama, Fantasy, Science-Fiction, Romance, History, Animation, Comedy, Action & Adventure","8.4",91,"2014","Based on Books, Time Travel, Magic, Adaptation, Political"
"The Last Kingdom"," 18 (TV-MA)","Action & Adventure, History, Romance, Drama","8.4",91,"2015",""
"The Good Place"," 14 (TV-14)","Comedy, Drama, Fantasy, Romance, Science-Fiction","8.2",97,"2016","Free Services, Netflix, Hulu, NBC, fuboTV"
"House of Cards","18 (TV-MA)","Drama, Sport, Crime","8.7",77,"2013",""
"Mad Men","14 (TV-14)","","8.6",94,"2007",""
"The Flash","7 (TV-PG)","Drama, Action & Adventure, Fantasy, Science-Fiction, Crime","7.7",89,"2014","Time Travel, Supernatural, Superhero, Comic Book, Adaptation"
"The 100","14 (TV-14)","Drama, Science-Fiction, Action & Adventure, Mystery, Fantasy, Thriller","7.7",93,"100","Based on Books, Dystopia, Apocalypse, Space, Disaster, Survival, Adaptation, Teen"
"Shameless","18 (TV-MA)","","8.6",85,"2011",""
"The Haunting","18 (TV-MA)","Horror, Drama, Mystery, Thriller","8.7",93,"2018","Based on Books, Suspense, Supernatural, Ghost, Adaptation"
"The Blacklist"," 14 (TV-14)","Action & Adventure, Thriller, Crime, Drama, Mystery","8",91,"2013",""
"Dead to Me","18 (TV-MA)","Comedy, Drama, Mystery, Crime","8.1",91,"2019",""
"Lucifer","14 (TV-14)","Fantasy, Crime, Science-Fiction, Drama, Comedy","8.2",87,"2016","Police, Supernatural, Superhero, Comic Book, Religion, Adaptation"
"Never Have I Ever","14 (TV-14)","","8",96,"2020",""
"Grey's Anatomy"," 14 (TV-14)","","7.6",83,"2005",""
"Orange Is the New Black","18 (TV-MA)","Comedy, LGBTQ, Crime, Drama","8.1",90,"2013",""
"Marvel's Agents of S.H.I.E.L.D.","14 (TV-14)","Action & Adventure, Drama, Fantasy, Science-Fiction, Thriller","7.5",95,"2013","Free Services, Netflix, Hulu, ABC, Supernatural, Superhero, Comic Book, Disney, Adaptation"
"After Life","18 (TV-MA)","","8.5",70,"2019",""
"Arrested Development","14 (TV-14)","","8.7",75,"2003",""
"The End of the F***ing World","18 (TV-MA)","Action & Adventure, Comedy, Crime, Drama, Romance, Thriller","8.1",93,NA,"Dark Comedy, War, Psychology, Feel-good, Teen"
"When They See Us","18 (TV-MA)","Thriller, Biography, Drama, History","8.9",96,"2019",""
"How to Get Away with Murder","14 (TV-14)","Drama, Thriller, Crime, Mystery","8.1",88,"2014",""
"The Crown","18 (TV-MA)","","8.7",89,"2016","America, United Kingdom"
"The Vampire Diaries","14 (TV-14)","Drama, Fantasy, Horror, Romance, Mystery, Thriller, Science-Fiction","7.7",86,"2009","Based on Books, Vampire, Supernatural, Adaptation, Teen"
"BoJack Horseman","18 (TV-MA)","Animation, Comedy, Drama","8.7",93,"2014","Space, Drug, Psychology, Genius, Animal, Mature"
"Penny Dreadful","18 (TV-MA)","Horror, Thriller, Drama, Fantasy","8.2",91,"2014","Monster, Vampire, Doctor, Supernatural, Religion"
"American Crime Story","18 (TV-MA)","Biography, Drama, Crime","8.4",93,"2016","Police, Serial Killer, Adaptation, Based On True Story"
"Sense8","18 (TV-MA)","Drama, LGBTQ, Mystery, Science-Fiction, Thriller, Fantasy","8.3",86,"8",""
"Elite","18 (TV-MA)","Crime, Drama, Thriller, Mystery","7.6",97,"2018",""
"Sacred Games","18 (TV-MA)","Drama, Action & Adventure, Crime, Thriller","8.7",92,"2018",""
"Arrow"," 14 (TV-14)","Drama, Action & Adventure, Fantasy, Crime, Mystery, Science-Fiction","7.6",85,"2012","Supernatural, Superhero, Comic Book, Serial Killer, Adaptation"
"Sex Education","14 (TV-14)","","8.3",94,"2019",""
"Unbelievable","18 (TV-MA)","","8.4",97,"2019",""
"The IT Crowd","14 (TV-14)","","8.5",87,"2006",""
"The Twilight Zone"," 7 (TV-PG)","Fantasy, Science-Fiction, Drama, Horror, Mystery, Thriller","9",82,"1959","Escape, Space, Time Travel, Suspense"
"YOU"," 18 (TV-MA)","Crime, Drama, Romance, Thriller","7.8",91,"2018",""
"Unorthodox","18 (TV-MA)","","8.1",94,"2020",""
"Broadchurch"," 18 (TV-MA)","Crime, Drama, Mystery, Thriller","8.4",92,"2013",""
"Star Trek: The Next Generation"," 7 (TV-PG)","Action & Adventure, Drama, Science-Fiction, Mystery, Fantasy","8.6",89,"1987","Netflix, Prime Video, Hulu, CBS All Access"
"Altered Carbon","18 (TV-MA)","Mystery, Science-Fiction, Action & Adventure, Drama, Thriller, Fantasy","8.1",64,"2018","Dystopia, War, Space, Technology, Suspense, Science, Fighting, Futuristic"
"The Sinner","14 (TV-14)","Drama, Crime, Thriller, Mystery","8",95,"2017","Based on Books, Drug, Religion, Adaptation"
"Kingdom","18 (TV-MA)","Action & Adventure, Drama, Horror, Thriller, Mystery, Science-Fiction, Fantasy, History","8.4",96,"2019","Suspense, Doctor, Zombie, Medieval"
"Love, Death & Robots","18 (TV-MA)","Animation, Science-Fiction, Comedy, Fantasy, Horror","8.5",78,"2019",""
"Marvel's Jessica Jones","18 (TV-MA)","Action & Adventure, Crime, Drama, Science-Fiction, Thriller, Fantasy","8",83,"2015","Supernatural, Superhero, Comic Book, Psychology, Disney, Adaptation"
"The Good Wife","14 (TV-14)","Crime, Drama, Mystery","8.3",94,"2009","Netflix, Prime Video, Hulu, CBS All Access"
"The Umbrella Academy","14 (TV-14)","Action & Adventure, LGBTQ, Comedy, Drama, Fantasy, Science-Fiction, Mystery","7.9",77,"2019",""
"Bodyguard","18 (TV-MA)","Thriller, Crime, Drama, Action & Adventure","8.1",93,"2018","Military, Police, Suspense, Political"
"New Girl","14 (TV-14)","","7.7",94,"2011",""
"Marvel's The Punisher","18 (TV-MA)","Action & Adventure, Crime, Drama, Science-Fiction, Thriller","8.5",63,"2017","Supernatural, Superhero, Comic Book, Disney, Adaptation"
"Schitt's Creek"," 14 (TV-14)","","8.4",50,"2015","Free Services, Netflix, Prime Video, fuboTV"
"Master of None","18 (TV-MA)","","8.3",100,"2015",""
"Tiger King: Murder, Mayhem and Madness"," 18 (TV-MA)","Documentary, LGBTQ, Crime","7.8",86,"2020",""
"The West Wing","14 (TV-14)","","8.8",75,"1999",""
"Death Note","18 (TV-MA)","Animation, Anime, Crime, Fantasy, Drama, Mystery, Thriller","9",NA,"2006","Police, Time Travel, Suspense, Supernatural, Serial Killer, Adaptation"
"Gomorrah"," 18 (TV-MA)","Drama, Crime, Thriller","8.7",94,"2014",""
"Once Upon a Time","7 (TV-PG)","Drama, Fantasy, Action & Adventure, Romance, Science-Fiction","7.7",80,"2011","Magic, Supernatural, Psychology, Disney, Adaptation"
"Bates Motel","18 (TV-MA)","Crime, Drama, Horror, Mystery, Thriller","8.2",93,"2013",""
"Riverdale","14 (TV-14)","Drama, Crime, Mystery, Romance, Thriller","7",86,"2017","High School, Comic Book, Adaptation, Teen"
"Ash vs Evil Dead","18 (TV-MA)","Comedy, Horror, Action & Adventure, Fantasy, Thriller","8.4",99,"2015",""
"Making a Murderer","14 (TV-14)","","8.6",84,"2015","Prison, Revenge, Teen, Political"
"Narcos: Mexico","18 (TV-MA)","Action & Adventure, Crime, Drama","8.4",88,"2018",""
"Atypical","18 (TV-MA)","Comedy, Drama, Romance","8.3",87,"2017","Coming of Age, High School, Doctor, Teen"
"Burn Notice"," 7 (TV-PG)","Action & Adventure, Crime, Drama, Thriller, Mystery","7.9",88,"2007","Netflix, Prime Video, Hulu, USA"
"Russian Doll","18 (TV-MA)","Comedy, Drama, Mystery, Fantasy","7.9",96,"2019",""
"Resurrection: Ertugrul","14 (TV-14)","Action & Adventure, Drama, History","7.8",NA,NA,""
"Big Mouth","18 (TV-MA)","Animation, Comedy, Romance","8",100,NA,""
"American Horror Story","18 (TV-MA)","Drama, Horror, Thriller, Fantasy, Mystery, Science-Fiction","8",NA,"2011","Time Travel, Vampire, Doctor, Supernatural, Ghost, Serial Killer, Religion"
"Our Planet","7 (TV-PG)","","9.3",93,"2019",""
"Gotham","14 (TV-14)","Drama, Action & Adventure, Crime, Thriller, Fantasy, Science-Fiction","7.8",77,"2014","Doctor, Supernatural, Superhero, Comic Book, Serial Killer, Adaptation"
"Castlevania","18 (TV-MA)","Animation, Action & Adventure, Fantasy, Horror","8.2",93,"2017","Vampire, Doctor, Magic, Supernatural, Medieval, Religion, Video Games, Adaptation"
"Criminal Minds","14 (TV-14)","Crime, Drama, Mystery, Thriller, Horror","8.1",NA,"2005",""
"Fauda","14 (TV-14)","Thriller, Action & Adventure, Drama, Crime","8.2",100,"2015","Military, War, Suspense, Spy"
"Star Trek"," 7 (TV-PG)","Action & Adventure, Drama, Science-Fiction, Fantasy","8.3",80,"1966","Netflix, Prime Video, Hulu, CBS All Access"
"I Am Not Okay with This"," 18 (TV-MA)","Action & Adventure, Comedy, Drama, Fantasy, Science-Fiction","7.6",85,"2020",""
"Anne with an E","7 (TV-PG)","","8.7",62,"2017",""
"DC's Legends of Tomorrow","14 (TV-14)","Action & Adventure, Science-Fiction, Drama, Fantasy","6.8",87,"2016","Time Travel, Supernatural, Superhero, Comic Book, Adaptation"
"The OA","14 (TV-14)","Drama, Fantasy, Mystery, Science-Fiction","7.9",84,"2016",""
"Outer Banks"," 18 (TV-MA)","Action & Adventure, Crime, Drama, Mystery, Romance, Thriller","7.6",72,"2020",""
"Chilling Adventures of Sabrina","14 (TV-14)","Action & Adventure, Drama, Fantasy, Horror, Mystery, Thriller, Science-Fiction","7.6",84,"2018","High School, Magic, Supernatural, Comic Book, Adaptation, Teen"
"The Vietnam War"," 18 (TV-MA)","","9.1",98,"2017",""
"Gilmore Girls","14 (TV-14)","","8.1",85,"2000","High School, Dating, College, Teen"
"Into the Night"," 18 (TV-MA)","Drama, Science-Fiction, Thriller, Fantasy","7.1",83,"2020",""
